SDE_Type,Feature_Name,Total_Field_Count,Record_Count,Path,Review Date,Comments
wyoming_edit,ilmwyedt.ilmwydbo.signs_maint_tbl,22,107,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\wyoming_edit.sde\ilmwyedt.ILMWYDBO.SIGNS\ilmwyedt.ILMWYDBO.signs_pt,2020-02-23 15:20:45.774,
wyoming_edit,ilmwyedt.ilmwydbo.signs_pt__attach,7,140,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\wyoming_edit.sde\ilmwyedt.ILMWYDBO.signs_maint_tbl,2020-02-23 15:20:45.774,
wyoming_edit,No table data/connection,No table data/connection,No table data/connection,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\wyoming_edit.sde\ilmwyedt.ILMWYDBO.signs_pt__ATTACH,2020-02-23 15:20:45.774,
arizona_publication,ilmcarep.caso.signs_pt,41,3826,No table data/connection,2020-02-23 15:20:45.774,
california_publication,ilmcarep.caso.signs_maint_tbl,21,262,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\california_publication.sde\ilmcaRep.CASO.SIGNS\ilmcaRep.CASO.signs_pt,2020-02-23 15:20:45.774,
california_publication,No fc data/connection,No fc data/connection,No fc data/connection,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\california_publication.sde\ilmcaRep.CASO.signs_maint_tbl,2020-02-23 15:20:45.774,
colorado_publication,No table data/connection,No table data/connection,No table data/connection,No fc data/connection,2020-02-23 15:20:45.774,
colorado_publication,ilmespub.ilmesdbo.signs_pt,41,123,No table data/connection,2020-02-23 15:20:45.774,
eastern_states_publication,ilmespub.ilmesdbo.signs_maint_tbl,21,0,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\eastern_states_publication.sde\ilmespub.ILMESDBO.SIGNS\ilmespub.ILMESDBO.signs_pt,2020-02-23 15:20:45.774,
eastern_states_publication,ilmespub.ilmesdbo.signs_pt__attach,7,150,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\eastern_states_publication.sde\ilmespub.ILMESDBO.signs_maint_tbl,2020-02-23 15:20:45.774,
eastern_states_publication,idnoc.idsd1.signs_pt,43,3828,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\eastern_states_publication.sde\ilmespub.ILMESDBO.signs_pt__ATTACH,2020-02-23 15:20:45.774,
idaho_publication,idnoc.idsd1.signs_maint_tbl,21,2698,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\idaho_publication.sde\IDNOC.IDSD1.signs\IDNOC.IDSD1.signs_pt,2020-02-23 15:20:45.774,
idaho_publication,idnoc.idsd1.signs_pt__attach,7,103,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\idaho_publication.sde\IDNOC.IDSD1.signs_maint_tbl,2020-02-23 15:20:45.774,
idaho_publication,idnoc.idsd1.signs_pt__attach__attach,7,0,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\idaho_publication.sde\IDNOC.IDSD1.signs_pt__ATTACH,2020-02-23 15:20:45.774,
idaho_publication,mtsde.sdedata.signs_pt,49,9758,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\idaho_publication.sde\IDNOC.IDSD1.signs_pt__ATTACH__ATTACH,2020-02-23 15:20:45.774,
montana_publication,mtsde.sdedata.signs_maint_tbl,22,17100,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\montana_publication.sde\mtsde.SDEDATA.SIGNS\mtsde.SDEDATA.signs_pt,2020-02-23 15:20:45.774,
montana_publication,mtsde.sdedata.signs_pt__attach,8,5669,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\montana_publication.sde\mtsde.SDEDATA.signs_maint_tbl,2020-02-23 15:20:45.774,
montana_publication,ilmnvpub.ilmnvdbo.signs_pt,42,6555,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\montana_publication.sde\mtsde.SDEDATA.signs_pt__ATTACH,2020-02-23 15:20:45.774,
nevada_publication,ilmnvpub.ilmnvdbo.signs_maint_tbl,21,6554,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\nevada_publication.sde\ilmnvpub.ILMNVDBO.SIGNS\ilmnvpub.ILMNVDBO.signs_pt,2020-02-23 15:20:45.774,
nevada_publication,ilmnvpub.ilmnvdbo.signs_pt__attach,7,0,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\nevada_publication.sde\ilmnvpub.ILMNVDBO.signs_maint_tbl,2020-02-23 15:20:45.774,
nevada_publication,No fc data/connection,No fc data/connection,No fc data/connection,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\nevada_publication.sde\ilmnvpub.ILMNVDBO.signs_pt__ATTACH,2020-02-23 15:20:45.774,
new_mexico_publication,No table data/connection,No table data/connection,No table data/connection,No fc data/connection,2020-02-23 15:20:45.774,
new_mexico_publication,No fc data/connection,No fc data/connection,No fc data/connection,No table data/connection,2020-02-23 15:20:45.774,
utah_publication,No table data/connection,No table data/connection,No table data/connection,No fc data/connection,2020-02-23 15:20:45.774,
utah_publication,ilmwypub.ilmwydbo.signs_pt,42,151,No table data/connection,2020-02-23 15:20:45.774,
wyoming_publication,ilmwypub.ilmwydbo.signs_maint_tbl,22,107,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\wyoming_publication.sde\ilmwypub.ILMWYDBO.SIGNS\ilmwypub.ILMWYDBO.signs_pt,2020-02-23 15:20:45.774,
wyoming_publication,ilmwypub.ilmwydbo.signs_pt__attach,7,140,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\wyoming_publication.sde\ilmwypub.ILMWYDBO.signs_maint_tbl,2020-02-23 15:20:45.774,
wyoming_publication,No fc data/connection,No fc data/connection,No fc data/connection,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\wyoming_publication.sde\ilmwypub.ILMWYDBO.signs_pt__ATTACH,2020-02-23 15:20:45.774,
_oc_qaqc_AK,ilmocak.ilmocdbo.signs_maint_tbl,22,1450,No fc data/connection,2020-02-23 15:20:45.774,
_oc_qaqc_AK,No fc data/connection,No fc data/connection,No fc data/connection,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\_oc_qaqc_AK.sde\ilmocak.ILMOCDBO.signs_maint_tbl,2020-02-23 15:20:45.774,
_oc_qaqc_AZ,No table data/connection,No table data/connection,No table data/connection,No fc data/connection,2020-02-23 15:20:45.774,
_oc_qaqc_AZ,ilmocca.ilmocdbo.signs_pt,41,3826,No table data/connection,2020-02-23 15:20:45.774,
_oc_qaqc_CA,ilmocca.ilmocdbo.signs_maint_tbl,21,262,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\_oc_qaqc_CA.sde\ilmocca.ILMOCDBO.SIGNS\ilmocca.ILMOCDBO.signs_pt,2020-02-23 15:20:45.774,
_oc_qaqc_CA,No fc data/connection,No fc data/connection,No fc data/connection,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\_oc_qaqc_CA.sde\ilmocca.ILMOCDBO.signs_maint_tbl,2020-02-23 15:20:45.774,
