SDE_Type,Feature_Name,Total_Field_Count,Record_Count,Path,Review Date,Comments
alaska_edit,gis_ds.dbo.signs_pt__attach,11,1533,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\alaska_edit.sde\GIS_DS.DBO.signs_pt__ATTACH,2020-03-16 10:39:04.014,
alaska_edit,gis_ds.dbo.signs_maint_tbl,22,1450,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\alaska_edit.sde\GIS_DS.DBO.signs_maint_tbl,2020-03-16 10:39:04.014,
alaska_edit,gis_ds.dbo.signs_pt,41,1509,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\alaska_edit.sde\GIS_DS.DBO.SIGNS\GIS_DS.DBO.signs_pt,2020-03-16 10:39:04.014,
arizona_edit,ilmazedt.ilmazdbo.signs_pt__attach,7,233,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\arizona_edit.sde\ilmazedt.ILMAZDBO.signs_pt__ATTACH,2020-03-16 10:39:04.014,
arizona_edit,ilmazedt.ilmazdbo.signs_maint_tbl,22,279,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\arizona_edit.sde\ilmazedt.ILMAZDBO.signs_maint_tbl,2020-03-16 10:39:04.014,
arizona_edit,ilmazedt.ilmazdbo.signs_pt,60,251,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\arizona_edit.sde\ilmazedt.ILMAZDBO.SIGNS\ilmazedt.ILMAZDBO.signs_pt,2020-03-16 10:39:04.014,
california_edit,ilmcapub.caso.signs_pt__attach,7,483,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\california_edit.sde\ilmcaPub.CASO.signs_pt__ATTACH,2020-03-16 10:39:04.014,
california_edit,ilmcapub.caso.signs_maint_tbl,21,262,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\california_edit.sde\ilmcaPub.CASO.signs_maint_tbl,2020-03-16 10:39:04.014,
california_edit,ilmcapub.caso.signs_pt,41,3826,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\california_edit.sde\ilmcaPub.CASO.SIGNS\ilmcaPub.CASO.signs_pt,2020-03-16 10:39:04.014,
colorado_edit,ilmcoedt.ilmcodbo.signs_maint_tbl,18,2824,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\colorado_edit.sde\ilmcoedt.ILMCODBO.signs_maint_tbl,2020-03-16 10:39:04.014,
colorado_edit,ilmcoedt.ilmcodbo.signs_pt__attach,7,2300,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\colorado_edit.sde\ilmcoedt.ILMCODBO.signs_pt__ATTACH,2020-03-16 10:39:04.014,
colorado_edit,ilmcoedt.ilmcodbo.signs_pt,42,4022,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\colorado_edit.sde\ilmcoedt.ILMCODBO.signs\ilmcoedt.ILMCODBO.signs_pt,2020-03-16 10:39:04.014,
eastern_states_edit,ilmesedt.ilmesdbo.signs_maint_tbl,21,0,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\eastern_states_edit.sde\ilmesedt.ILMESDBO.signs_maint_tbl,2020-03-16 10:39:04.014,
eastern_states_edit,ilmesedt.ilmesdbo.signs_pt__attach,7,150,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\eastern_states_edit.sde\ilmesedt.ILMESDBO.signs_pt__ATTACH,2020-03-16 10:39:04.014,
eastern_states_edit,ilmesedt.ilmesdbo.signs_pt,44,123,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\eastern_states_edit.sde\ilmesedt.ILMESDBO.SIGNS\ilmesedt.ILMESDBO.signs_pt,2020-03-16 10:39:04.014,
nevada_edit,ilmnvedt.ilmnvdbo.signs_maint_tbl,21,6554,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\nevada_edit.sde\ilmnvedt.ILMNVDBO.signs_maint_tbl,2020-03-16 10:39:04.014,
nevada_edit,ilmnvedt.ilmnvdbo.signs_pt__attach,7,0,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\nevada_edit.sde\ilmnvedt.ILMNVDBO.signs_pt__ATTACH,2020-03-16 10:39:04.014,
nevada_edit,ilmnvedt.ilmnvdbo.signs_pt,42,6555,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\nevada_edit.sde\ilmnvedt.ILMNVDBO.SIGNS\ilmnvedt.ILMNVDBO.signs_pt,2020-03-16 10:39:04.014,
utah_edit,ilmutedt.ilmutdbo.signs_pt__attach,7,672,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\utah_edit.sde\ilmutedt.ILMUTDBO.signs_pt__ATTACH,2020-03-16 10:39:04.014,
utah_edit,ilmutedt.ilmutdbo.signs_pt,0,No data/Failed,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\utah_edit.sde\ilmutedt.ILMUTDBO.signs\ilmutedt.ILMUTDBO.signs_pt,2020-03-16 10:39:04.014,
wyoming_edit,ilmwyedt.ilmwydbo.signs_maint_tbl,22,107,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\wyoming_edit.sde\ilmwyedt.ILMWYDBO.signs_maint_tbl,2020-03-16 10:39:04.014,
wyoming_edit,ilmwyedt.ilmwydbo.signs_pt__attach,7,140,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\wyoming_edit.sde\ilmwyedt.ILMWYDBO.signs_pt__ATTACH,2020-03-16 10:39:04.014,
wyoming_edit,ilmwyedt.ilmwydbo.signs_pt,42,151,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\wyoming_edit.sde\ilmwyedt.ILMWYDBO.SIGNS\ilmwyedt.ILMWYDBO.signs_pt,2020-03-16 10:39:04.014,
arizona_publication,ilmazpub.ilmazdbo.signs_pt__attach,7,233,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\arizona_publication.sde\ilmazpub.ILMAZDBO.signs_pt__ATTACH,2020-03-16 10:39:04.014,
arizona_publication,ilmazpub.ilmazdbo.signs_maint_tbl,22,279,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\arizona_publication.sde\ilmazpub.ILMAZDBO.signs_maint_tbl,2020-03-16 10:39:04.014,
arizona_publication,ilmazpub.ilmazdbo.signs_pt,60,251,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\arizona_publication.sde\ilmazpub.ILMAZDBO.SIGNS\ilmazpub.ILMAZDBO.signs_pt,2020-03-16 10:39:04.014,
california_publication,ilmcarep.caso.signs_maint_tbl,21,262,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\california_publication.sde\ilmcaRep.CASO.signs_maint_tbl,2020-03-16 10:39:04.014,
california_publication,ilmcarep.caso.signs_pt,41,3826,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\california_publication.sde\ilmcaRep.CASO.SIGNS\ilmcaRep.CASO.signs_pt,2020-03-16 10:39:04.014,
colorado_publication,ilmcopub.ilmcodbo.signs_maint_tbl,18,2824,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\colorado_publication.sde\ilmcopub.ILMCODBO.signs_maint_tbl,2020-03-16 10:39:04.014,
colorado_publication,ilmcopub.ilmcodbo.signs_pt__attach,7,2300,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\colorado_publication.sde\ilmcopub.ILMCODBO.signs_pt__ATTACH,2020-03-16 10:39:04.014,
colorado_publication,ilmcopub.ilmcodbo.signs_pt,42,4022,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\colorado_publication.sde\ilmcopub.ILMCODBO.signs\ilmcopub.ILMCODBO.signs_pt,2020-03-16 10:39:04.014,
eastern_states_publication,ilmespub.ilmesdbo.signs_maint_tbl,21,0,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\eastern_states_publication.sde\ilmespub.ILMESDBO.signs_maint_tbl,2020-03-16 10:39:04.014,
eastern_states_publication,ilmespub.ilmesdbo.signs_pt__attach,7,150,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\eastern_states_publication.sde\ilmespub.ILMESDBO.signs_pt__ATTACH,2020-03-16 10:39:04.014,
eastern_states_publication,ilmespub.ilmesdbo.signs_pt,41,123,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\eastern_states_publication.sde\ilmespub.ILMESDBO.SIGNS\ilmespub.ILMESDBO.signs_pt,2020-03-16 10:39:04.014,
idaho_publication,idnoc.idsd1.signs_maint_tbl,21,2698,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\idaho_publication.sde\IDNOC.IDSD1.signs_maint_tbl,2020-03-16 10:39:04.014,
idaho_publication,idnoc.idsd1.signs_pt__attach,7,103,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\idaho_publication.sde\IDNOC.IDSD1.signs_pt__ATTACH,2020-03-16 10:39:04.014,
idaho_publication,idnoc.idsd1.signs_pt__attach__attach,7,0,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\idaho_publication.sde\IDNOC.IDSD1.signs_pt__ATTACH__ATTACH,2020-03-16 10:39:04.014,
idaho_publication,idnoc.idsd1.signs_pt,43,3828,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\idaho_publication.sde\IDNOC.IDSD1.signs\IDNOC.IDSD1.signs_pt,2020-03-16 10:39:04.014,
montana_publication,mtsde.sdedata.signs_maint_tbl_xj94_20200303,0,No data/Failed,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\montana_publication.sde\mtsde.SDEDATA.signs_maint_tbl_XJ94_20200303,2020-03-16 10:39:04.014,
montana_publication,mtsde.sdedata.signs_pt__attach_xj94_20200303,0,No data/Failed,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\montana_publication.sde\mtsde.SDEDATA.signs_pt__ATTACH_XJ94_20200303,2020-03-16 10:39:04.014,
montana_publication,mtsde.sdedata.signs_maint_tbl_xj94_20200312,18,17100,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\montana_publication.sde\mtsde.SDEDATA.signs_maint_tbl_XJ94_20200312,2020-03-16 10:39:04.014,
montana_publication,mtsde.sdedata.signs_pt__attach_xj94_20200312,8,5669,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\montana_publication.sde\mtsde.SDEDATA.signs_pt__ATTACH_XJ94_20200312,2020-03-16 10:39:04.014,
montana_publication,mtsde.sdedata.signs_maint_tbl,18,17101,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\montana_publication.sde\mtsde.SDEDATA.signs_maint_tbl,2020-03-16 10:39:04.014,
montana_publication,mtsde.sdedata.signs_pt__attach,8,5669,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\montana_publication.sde\mtsde.SDEDATA.signs_pt__ATTACH,2020-03-16 10:39:04.014,
montana_publication,mtsde.sdedata.signs_pt_xj94_0312,45,9759,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\montana_publication.sde\mtsde.SDEDATA.SIGNS_XJ94_20200312\mtsde.SDEDATA.signs_pt_xj94_0312,2020-03-16 10:39:04.014,
montana_publication,mtsde.sdedata.signs_pt,45,9759,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\montana_publication.sde\mtsde.SDEDATA.SIGNS\mtsde.SDEDATA.signs_pt,2020-03-16 10:39:04.014,
nevada_publication,ilmnvpub.ilmnvdbo.signs_maint_tbl,21,6554,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\nevada_publication.sde\ilmnvpub.ILMNVDBO.signs_maint_tbl,2020-03-16 10:39:04.014,
nevada_publication,ilmnvpub.ilmnvdbo.signs_pt__attach,7,0,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\nevada_publication.sde\ilmnvpub.ILMNVDBO.signs_pt__ATTACH,2020-03-16 10:39:04.014,
nevada_publication,ilmnvpub.ilmnvdbo.signs_pt,42,6555,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\nevada_publication.sde\ilmnvpub.ILMNVDBO.SIGNS\ilmnvpub.ILMNVDBO.signs_pt,2020-03-16 10:39:04.014,
utah_publication,ilmutpub.ilmutdbo.signs_maint_tbl,17,287,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\utah_publication.sde\ilmutpub.ILMUTDBO.signs_maint_tbl,2020-03-16 10:39:04.014,
utah_publication,ilmutpub.ilmutdbo.signs_pt__attach,7,672,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\utah_publication.sde\ilmutpub.ILMUTDBO.signs_pt__ATTACH,2020-03-16 10:39:04.014,
utah_publication,ilmutpub.ilmutdbo.signs_pt,37,643,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\utah_publication.sde\ilmutpub.ILMUTDBO.signs\ilmutpub.ILMUTDBO.signs_pt,2020-03-16 10:39:04.014,
wyoming_publication,ilmwypub.ilmwydbo.signs_maint_tbl,22,107,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\wyoming_publication.sde\ilmwypub.ILMWYDBO.signs_maint_tbl,2020-03-16 10:39:04.014,
wyoming_publication,ilmwypub.ilmwydbo.signs_pt__attach,7,140,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\wyoming_publication.sde\ilmwypub.ILMWYDBO.signs_pt__ATTACH,2020-03-16 10:39:04.014,
wyoming_publication,ilmwypub.ilmwydbo.signs_pt,42,151,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\wyoming_publication.sde\ilmwypub.ILMWYDBO.SIGNS\ilmwypub.ILMWYDBO.signs_pt,2020-03-16 10:39:04.014,
_oc_qaqc_AK,ilmocak.ilmocdbo.signs_maint_tbl,22,1450,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\_oc_qaqc_AK.sde\ilmocak.ILMOCDBO.signs_maint_tbl,2020-03-16 10:39:04.014,
_oc_qaqc_AK,ilmocak.ilmocdbo.signs_pt,41,1509,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\_oc_qaqc_AK.sde\ilmocak.ILMOCDBO.SIGNS\ilmocak.ILMOCDBO.signs_pt,2020-03-16 10:39:04.014,
_oc_qaqc_AZ,ilmocaz.ilmocdbo.signs_maint_tbl,22,279,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\_oc_qaqc_AZ.sde\ilmocaz.ILMOCDBO.signs_maint_tbl,2020-03-16 10:39:04.014,
_oc_qaqc_AZ,ilmocaz.ilmocdbo.signs_pt,60,251,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\_oc_qaqc_AZ.sde\ilmocaz.ILMOCDBO.SIGNS\ilmocaz.ILMOCDBO.signs_pt,2020-03-16 10:39:04.014,
_oc_qaqc_CA,ilmocca.ilmocdbo.signs_maint_tbl,21,262,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\_oc_qaqc_CA.sde\ilmocca.ILMOCDBO.signs_maint_tbl,2020-03-16 10:39:04.014,
_oc_qaqc_CA,ilmocca.ilmocdbo.signs_pt,41,3826,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\_oc_qaqc_CA.sde\ilmocca.ILMOCDBO.SIGNS\ilmocca.ILMOCDBO.signs_pt,2020-03-16 10:39:04.014,
_oc_qaqc_CO,ilmocco.ilmocdbo.signs_maint_tbl,18,2824,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\_oc_qaqc_CO.sde\ilmocco.ILMOCDBO.signs_maint_tbl,2020-03-16 10:39:04.014,
_oc_qaqc_CO,ilmocco.ilmocdbo.signs_pt__attach,7,2300,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\_oc_qaqc_CO.sde\ilmocco.ILMOCDBO.signs_pt__ATTACH,2020-03-16 10:39:04.014,
_oc_qaqc_CO,ilmocco.ilmocdbo.signs_pt,42,4022,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\_oc_qaqc_CO.sde\ilmocco.ILMOCDBO.signs\ilmocco.ILMOCDBO.signs_pt,2020-03-16 10:39:04.014,
_oc_qaqc_ES,ilmoces.ilmocdbo.signs_maint_tbl,21,0,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\_oc_qaqc_ES.sde\ilmoces.ILMOCDBO.signs_maint_tbl,2020-03-16 10:39:04.014,
_oc_qaqc_ES,ilmoces.ilmocdbo.signs_pt,41,123,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\_oc_qaqc_ES.sde\ilmoces.ILMOCDBO.SIGNS\ilmoces.ILMOCDBO.signs_pt,2020-03-16 10:39:04.014,
_oc_qaqc_ID,ilmocid.ilmocdbo.signs_maint_tbl,21,2698,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\_oc_qaqc_ID.sde\ilmocid.ILMOCDBO.signs_maint_tbl,2020-03-16 10:39:04.014,
_oc_qaqc_ID,ilmocid.ilmocdbo.signs_pt,43,3828,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\_oc_qaqc_ID.sde\ilmocid.ILMOCDBO.signs\ilmocid.ILMOCDBO.signs_pt,2020-03-16 10:39:04.014,
_oc_qaqc_MT,ilmocmt.ilmocdbo.signs_maint_tbl,18,17100,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\_oc_qaqc_MT.sde\ilmocmt.ILMOCDBO.signs_maint_tbl,2020-03-16 10:39:04.014,
_oc_qaqc_MT,ilmocmt.ilmocdbo.signs_pt,45,9758,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\_oc_qaqc_MT.sde\ilmocmt.ILMOCDBO.SIGNS\ilmocmt.ILMOCDBO.signs_pt,2020-03-16 10:39:04.014,
_oc_qaqc_NM,ilmocnm.ilmocdbo.signs_maint_tbl,21,0,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\_oc_qaqc_NM.sde\ilmocnm.ILMOCDBO.signs_maint_tbl,2020-03-16 10:39:04.014,
_oc_qaqc_NM,ilmocnm.ilmocdbo.signs_pt,41,3109,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\_oc_qaqc_NM.sde\ilmocnm.ILMOCDBO.SIGNS\ilmocnm.ILMOCDBO.signs_pt,2020-03-16 10:39:04.014,
_oc_qaqc_NV,ilmocnv.ilmocdbo.signs_maint_tbl,21,6554,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\_oc_qaqc_NV.sde\ilmocnv.ILMOCDBO.signs_maint_tbl,2020-03-16 10:39:04.014,
_oc_qaqc_NV,ilmocnv.ilmocdbo.signs_pt,42,6555,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\_oc_qaqc_NV.sde\ilmocnv.ILMOCDBO.SIGNS\ilmocnv.ILMOCDBO.signs_pt,2020-03-16 10:39:04.014,
_oc_qaqc_ORWA,ilmocor.ilmocdbo.signs_maint_tbl,22,954,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\_oc_qaqc_ORWA.sde\ilmocor.ILMOCDBO.SIGNS_MAINT_TBL,2020-03-16 10:39:04.014,
_oc_qaqc_UT,ilmocut.ilmocdbo.signs_maint_tbl,17,287,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\_oc_qaqc_UT.sde\ilmocut.ILMOCDBO.signs_maint_tbl,2020-03-16 10:39:04.014,
_oc_qaqc_UT,ilmocut.ilmocdbo.signs_pt,37,643,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\_oc_qaqc_UT.sde\ilmocut.ILMOCDBO.signs\ilmocut.ILMOCDBO.signs_pt,2020-03-16 10:39:04.014,
_oc_qaqc_WY,ilmocwy.ilmocdbo.signs_maint_tbl,22,0,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\_oc_qaqc_WY.sde\ilmocwy.ILMOCDBO.signs_maint_tbl,2020-03-16 10:39:04.014,
_oc_qaqc_WY,ilmocwy.ilmocdbo.signs_pt,42,151,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\_oc_qaqc_WY.sde\ilmocwy.ILMOCDBO.SIGNS\ilmocwy.ILMOCDBO.signs_pt,2020-03-16 10:39:04.014,
